college,branch,exam,category,quota,closingRank,nirf,package,hostel,campus,codingCulture,fees,placementScore
IIT Bombay,CSE,JEE Advanced,General,AI,67,3,36 LPA,9/10,10/10,10/10,12 Lakhs,10
IIT Bombay,CSE,JEE Advanced,OBC-NCL,AI,145,3,36 LPA,9/10,10/10,10/10,12 Lakhs,10
IIT Bombay,CSE,JEE Advanced,SC,AI,310,3,36 LPA,9/10,10/10,10/10,12 Lakhs,10
IIT Bombay,CSE,JEE Advanced,ST,AI,512,3,36 LPA,9/10,10/10,10/10,12 Lakhs,10
IIT Bombay,ECE,JEE Advanced,General,AI,420,3,28 LPA,9/10,10/10,10/10,12 Lakhs,9
IIT Bombay,ECE,JEE Advanced,OBC-NCL,AI,680,3,28 LPA,9/10,10/10,10/10,12 Lakhs,9
IIT Bombay,Mechanical,JEE Advanced,General,AI,1150,3,18 LPA,9/10,10/10,8/10,12 Lakhs,8
IIT Delhi,CSE,JEE Advanced,General,AI,115,2,34 LPA,9/10,10/10,10/10,12 Lakhs,10
IIT Delhi,CSE,JEE Advanced,OBC-NCL,AI,210,2,34 LPA,9/10,10/10,10/10,12 Lakhs,10
IIT Delhi,CSE,JEE Advanced,SC,AI,490,2,34 LPA,9/10,10/10,10/10,12 Lakhs,10
IIT Delhi,CSE,JEE Advanced,ST,AI,620,2,34 LPA,9/10,10/10,10/10,12 Lakhs,10
IIT Delhi,ECE,JEE Advanced,General,AI,510,2,26 LPA,9/10,10/10,9/10,12 Lakhs,9
IIT Delhi,ECE,JEE Advanced,OBC-NCL,AI,850,2,26 LPA,9/10,10/10,9/10,12 Lakhs,9
IIT Delhi,Mechanical,JEE Advanced,General,AI,1420,2,16 LPA,9/10,10/10,7/10,12 Lakhs,8
IIT Madras,CSE,JEE Advanced,General,AI,180,1,32 LPA,8/10,10/10,10/10,11 Lakhs,10
IIT Madras,CSE,JEE Advanced,OBC-NCL,AI,290,1,32 LPA,8/10,10/10,10/10,11 Lakhs,10
IIT Madras,CSE,JEE Advanced,SC,AI,570,1,32 LPA,8/10,10/10,10/10,11 Lakhs,10
IIT Madras,ECE,JEE Advanced,General,AI,640,1,24 LPA,8/10,10/10,9/10,11 Lakhs,9
IIT Madras,Electrical,JEE Advanced,General,AI,920,1,22 LPA,8/10,10/10,8/10,11 Lakhs,9
IIT Madras,Mechanical,JEE Advanced,General,AI,1680,1,16 LPA,8/10,10/10,7/10,11 Lakhs,8
IIT Kharagpur,CSE,JEE Advanced,General,AI,340,4,28 LPA,8/10,9/10,9/10,10 Lakhs,9
IIT Kharagpur,CSE,JEE Advanced,OBC-NCL,AI,560,4,28 LPA,8/10,9/10,9/10,10 Lakhs,9
IIT Kharagpur,CSE,JEE Advanced,SC,AI,980,4,28 LPA,8/10,9/10,9/10,10 Lakhs,9
IIT Kharagpur,ECE,JEE Advanced,General,AI,890,4,22 LPA,8/10,9/10,8/10,10 Lakhs,8
IIT Kharagpur,Mechanical,JEE Advanced,General,AI,2100,4,15 LPA,8/10,9/10,7/10,10 Lakhs,7
IIT Kharagpur,Civil,JEE Advanced,General,AI,3200,4,12 LPA,8/10,9/10,6/10,10 Lakhs,7
IIT Kanpur,CSE,JEE Advanced,General,AI,250,5,30 LPA,8/10,9/10,10/10,10 Lakhs,10
IIT Kanpur,CSE,JEE Advanced,OBC-NCL,AI,420,5,30 LPA,8/10,9/10,10/10,10 Lakhs,10
IIT Kanpur,CSE,JEE Advanced,SC,AI,780,5,30 LPA,8/10,9/10,10/10,10 Lakhs,10
IIT Kanpur,ECE,JEE Advanced,General,AI,760,5,24 LPA,8/10,9/10,9/10,10 Lakhs,9
IIT Kanpur,Electrical,JEE Advanced,General,AI,1100,5,20 LPA,8/10,9/10,8/10,10 Lakhs,8
IIT Roorkee,CSE,JEE Advanced,General,AI,480,6,26 LPA,8/10,9/10,9/10,9 Lakhs,9
IIT Roorkee,CSE,JEE Advanced,OBC-NCL,AI,720,6,26 LPA,8/10,9/10,9/10,9 Lakhs,9
IIT Roorkee,CSE,JEE Advanced,SC,AI,1200,6,26 LPA,8/10,9/10,9/10,9 Lakhs,9
IIT Roorkee,ECE,JEE Advanced,General,AI,1100,6,20 LPA,8/10,9/10,8/10,9 Lakhs,8
IIT Roorkee,Mechanical,JEE Advanced,General,AI,2600,6,14 LPA,8/10,9/10,7/10,9 Lakhs,7
IIT Roorkee,Civil,JEE Advanced,General,AI,3800,6,11 LPA,8/10,9/10,6/10,9 Lakhs,6
IIT Guwahati,CSE,JEE Advanced,General,AI,870,7,22 LPA,7/10,8/10,8/10,9 Lakhs,8
